Model,Scenario,Format,Success,RulesFired,GenerationTimeMs,ErrorMessage
granite-code:8b,Simple Calculation,ENGLISH,false,0,2482,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=7, column=0
   text=Rule Compilation error subtotal cannot be resolved to a variable
subtotal cannot be resolved to a variable
The method getTaxAmount() is undefined for the type Rule_CalculateTax941727281]]"
granite-code:8b,Email Validation,DRL,true,1,1053,
granite-code:8b,Email Validation,YAML,false,0,2041,"YAML parsing error: while scanning a simple key
 in 'string', line 16, column 1:
    This rule checks if the 'email'  ... 
    ^
could not find expected ':'
 in 'string', line 16, column 225:
     ... sence of ""@"" in the email field.
                                         ^
"
granite-code:8b,Email Validation,ENGLISH,false,0,1933,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=7, column=0
   text=Rule Compilation error The method setValid(boolean) is undefined for the type EmailAddress]]"
granite-code:8b,Password Strength,DRL,false,0,2437,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=16, column=0
   text=Duplicate rule name: Password Strength], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=23, column=0
   text=Duplicate rule name: Password Strength]]"
granite-code:8b,Password Strength,YAML,false,0,3576,ERROR: Field '$password' used in rule but not declared in definition of type 'Password'
granite-code:8b,Password Strength,ENGLISH,false,0,4577,"ERROR: Field 'length' used in rule but not declared in definition of type 'Password'
ERROR: Field 'length' used in rule but not declared in definition of type 'Password'"
granite-code:8b,Age Classification,DRL,true,1,3404,
granite-code:8b,Age Classification,YAML,false,0,7272,"YAML parsing error: while scanning a simple key
 in 'string', line 52, column 1:
    This YAML rule defines four cond ... 
    ^
could not find expected ':'
 in 'string', line 52, column 512:
     ... sed on the condition that fired.
                                         ^
"
granite-code:8b,Age Classification,ENGLISH,false,0,7342,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=14, column=0
   text=Duplicate rule name: Classify Person by Age], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=21, column=0
   text=Duplicate rule name: Classify Person by Age], Message [id=3, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=28, column=0
   text=Duplicate rule name: Classify Person by Age], Message [id=4, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=14, column=0
   text=Rule Compilation error The method setCategory(String) is undefined for the type Person], Message [id=5, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=21, column=0
   text=Rule Compilation error The method setCategory(String) is undefined for the type Person], Message [id=6, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=7, column=0
   text=Rule Compilation error The method setCategory(String) is undefined for the type Person], Message [id=7, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=28, column=0
   text=Rule Compilation error The method setCategory(String) is undefined for the type Person]]"
granite-code:8b,Shipping Cost,DRL,true,1,3002,
granite-code:8b,Shipping Cost,YAML,false,0,2164,"YAML parsing error: while scanning a simple key
 in 'string', line 17, column 1:
    This rule will fire if the order ... 
    ^
could not find expected ':'
 in 'string', line 17, column 116:
     ... pping cost to 0 (free shipping).
                                         ^
"
granite-code:8b,Shipping Cost,ENGLISH,false,0,4932,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=14, column=0
   text=Rule Compilation error The method setShippingCost(double) is undefined for the type ShippingOrder], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=7, column=0
   text=Rule Compilation error The method setShippingCost(int) is undefined for the type ShippingOrder], Message [id=3, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=21, column=0
   text=Rule Compilation error The method setShippingCost(double) is undefined for the type ShippingOrder]]"
granite-code:8b,Loyalty Points,DRL,false,0,1487,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=-1, column=0
   text=You're trying to use the Truth Maintenance System without having imported it. Please add the module org.drools:drools-tms to your classpath.]]"
granite-code:8b,Loyalty Points,YAML,false,0,2523,"YAML parsing error: while scanning a simple key
 in 'string', line 16, column 1:
    This rule calculates the number  ... 
    ^
could not find expected ':'
 in 'string', line 16, column 290:
     ... field with the calculated value.
                                         ^
"
granite-code:8b,Loyalty Points,ENGLISH,false,0,4293,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=9, column=0
   text=Rule Compilation error calculate cannot be resolved to a type
Syntax error on token ""points"", ; expected
Syntax error on token ""as"", assert expected
Type mismatch: cannot convert from double to boolean
Syntax error, insert "";"" to complete AssertStatement]]"
granite-code:8b,Inventory Alert,DRL,true,1,1500,
granite-code:8b,Inventory Alert,YAML,true,1,1716,
granite-code:8b,Inventory Alert,ENGLISH,true,1,1791,
granite-code:8b,Loan Eligibility,DRL,true,1,1882,
granite-code:8b,Loan Eligibility,YAML,false,0,2747,"YAML parsing error: while scanning a simple key
 in 'string', line 18, column 1:
    This rule checks if the income,  ... 
    ^
could not find expected ':'
 in 'string', line 18, column 210:
     ...  true for that loan application.
                                         ^
"
granite-code:8b,Loan Eligibility,ENGLISH,false,0,3982,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=9, column=0
   text=Rule Compilation error The method setEligible(boolean) is undefined for the type LoanApplication]]"
granite-code:8b,Insurance Premium Tier,DRL,true,1,3074,
granite-code:8b,Insurance Premium Tier,YAML,false,0,5334,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=17, column=0
   text=Duplicate rule name: Assign Premium Tier], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=24, column=0
   text=Duplicate rule name: Assign Premium Tier]]"
granite-code:8b,Insurance Premium Tier,ENGLISH,false,0,6681,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=15, column=0
   text=Duplicate rule name: InsuranceApplicantPremiumTierRule], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=22, column=0
   text=Duplicate rule name: InsuranceApplicantPremiumTierRule], Message [id=3, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=22, column=0
   text=Rule Compilation error The method setPremiumTier(String) is undefined for the type InsuranceApplicant], Message [id=4, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=8, column=0
   text=Rule Compilation error The method setPremiumTier(String) is undefined for the type InsuranceApplicant], Message [id=5, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=15, column=0
   text=Rule Compilation error The method setPremiumTier(String) is undefined for the type InsuranceApplicant]]"
granite-code:8b,Tax Bracket,DRL,false,0,3227,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=16, column=0
   text=Duplicate rule name: assign tax rate], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=23, column=0
   text=Duplicate rule name: assign tax rate]]"
granite-code:8b,Tax Bracket,YAML,false,0,2522,"YAML parsing error: while scanning a simple key
 in 'string', line 17, column 1:
    This rule will fire when the inc ... 
    ^
could not find expected ':'
 in 'string', line 17, column 147:
     ... ax rate to 10 for that TaxPayer.
                                         ^
"
granite-code:8b,Tax Bracket,ENGLISH,false,0,9712,"ERROR: [ERR 102] Line 18:38 mismatched input 'and' in rule ""Assign 22% Tax Rate if Income is between $30,000 and $80,000""
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite-code:8b,Status Transition,DRL,true,1,1334,
granite-code:8b,Status Transition,YAML,false,0,2049,"YAML parsing error: while scanning a simple key
 in 'string', line 17, column 1:
    This rule will fire when a task  ... 
    ^
could not find expected ':'
 in 'string', line 17, column 149:
     ... e newStatus field to ""APPROVED"".
                                         ^
"
granite-code:8b,Status Transition,ENGLISH,true,1,2506,
granite-code:8b,Priority Assignment,DRL,true,1,1334,
granite-code:8b,Priority Assignment,YAML,false,0,5651,"YAML parsing error: while scanning a simple key
 in 'string', line 56, column 1:
    In this rule, we have four rules ... 
    ^
could not find expected ':'
 in 'string', line 56, column 318:
     ... ch is to set its priority field.
                                         ^
"
granite-code:8b,Priority Assignment,ENGLISH,true,1,6178,
granite-code:8b,Grade Calculation,DRL,false,0,4878,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=17, column=0
   text=Duplicate rule name: assignGrade], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=24, column=0
   text=Duplicate rule name: assignGrade], Message [id=3, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=31, column=0
   text=Duplicate rule name: assignGrade], Message [id=4, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=38, column=0
   text=Duplicate rule name: assignGrade]]"
granite-code:8b,Grade Calculation,YAML,false,0,6038,"YAML parsing error: while scanning a simple key
 in 'string', line 64, column 1:
    This YAML rule will assign grade ... 
    ^
could not find expected ':'
 in 'string', line 64, column 261:
     ... ject with the appropriate value.
                                         ^
"
granite-code:8b,Grade Calculation,ENGLISH,false,0,10110,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=15, column=0
   text=Duplicate rule name: Assign Grade Based on Score], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=22, column=0
   text=Duplicate rule name: Assign Grade Based on Score], Message [id=3, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=29, column=0
   text=Duplicate rule name: Assign Grade Based on Score], Message [id=4, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=36, column=0
   text=Duplicate rule name: Assign Grade Based on Score]]"
granite-code:20b,Adult Validation,DRL,true,1,61712,
granite-code:20b,Adult Validation,YAML,true,1,1955,
granite-code:20b,Adult Validation,ENGLISH,true,1,3869,
granite-code:20b,Senior Citizen Discount,DRL,true,2,2561,
granite-code:20b,Senior Citizen Discount,YAML,true,2,4011,
granite-code:20b,Senior Citizen Discount,ENGLISH,true,2,8547,
granite-code:20b,Order Discount - Basic,DRL,false,0,2685,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=10, column=0
   text=Rule Compilation error The method modify(Order) is undefined for the type Rule_Order_Discount21819388
Syntax error, insert "";"" to complete Statement
The method setDiscountPercent(int) is undefined for the type Rule_Order_Discount21819388
The method setDiscountApplied(boolean) is undefined for the type Rule_Order_Discount21819388]]"
granite-code:20b,Order Discount - Basic,YAML,true,1,3042,
granite-code:20b,Order Discount - Basic,ENGLISH,false,0,7231,ERROR: Field '' used in rule but not declared in definition of type 'Order'
